pdf_sayfa	cumle_id	token	lemma	anlam	etiket	cumle
2	1	Duvarın	duvar	duvarın üstü		Duvarın dibinde resmim aldılar,ak kağıt üstünde tanıyın beni ..
2	1	dibinde	dib	ayakta duran yer		Duvarın dibinde resmim aldılar,ak kağıt üstünde tanıyın beni ..
2	1	resmim	resim	görsel sanat eseri		Duvarın dibinde resmim aldılar,ak kağıt üstünde tanıyın beni ..
2	1	aldılar	al-	elde etmek, almak		Duvarın dibinde resmim aldılar,ak kağıt üstünde tanıyın beni ..
2	1	ak	ak	beyaz renk		Duvarın dibinde resmim aldılar,ak kağıt üstünde tanıyın beni ..
2	1	kağıt	kağıt	kağıt malzeme		Duvarın dibinde resmim aldılar,ak kağıt üstünde tanıyın beni ..
2	1	üstünde	üst	yukarı kısım		Duvarın dibinde resmim aldılar,ak kağıt üstünde tanıyın beni ..
2	1	tanıyın	tanı-	tanımak, fark etmek		Duvarın dibinde resmim aldılar,ak kağıt üstünde tanıyın beni ..
2	2	Toros	Toros	dağlar	YER	Toros dağlarının etekleri ta Akdenizden başlar.
2	2	dağlarının	dağ	yüksek yer		Toros dağlarının etekleri ta Akdenizden başlar.
2	2	etekleri	etek	taban kısmı		Toros dağlarının etekleri ta Akdenizden başlar.
2	2	Akdenizden	Akdeniz	deniz	YER	Toros dağlarının etekleri ta Akdenizden başlar.
2	2	başlar	başla-	ilk olmak		Toros dağlarının etekleri ta Akdenizden başlar.
2	3	Kıyıları	kıyı	deniz kenarı		Kıyıları döven ak köpüklerden sonra doruklara doğru yavaş yavaş yükselir.
2	3	döven	döv-	vurmak, çarpmak		Kıyıları döven ak köpüklerden sonra doruklara doğru yavaş yavaş yükselir.
2	3	ak	ak	suya benzer renk		Kıyıları döven ak köpüklerden sonra doruklara doğru yavaş yavaş yükselir.
2	3	köpüklerden	köpük	suya karışan hava kabarcığı		Kıyıları döven ak köpüklerden sonra doruklara doğru yavaş yavaş yükselir.
2	3	doruklara	doruk	dağın en yüksek noktası		Kıyıları döven ak köpüklerden sonra doruklara doğru yavaş yavaş yükselir.
2	3	yavaş	yavaş	hızı az olan		Kıyıları döven ak köpüklerden sonra doruklara doğru yavaş yavaş yükselir.
2	3	yavaş	yavaş	hızı az olan		Kıyıları döven ak köpüklerden sonra doruklara doğru yavaş yavaş yükselir.
2	3	yükselir	yüksel-	yukarı doğru çıkmak		Kıyıları döven ak köpüklerden sonra doruklara doğru yavaş yavaş yükselir.
2	4	Akdenizin	Akdeniz	deniz bölgesi	YER	Akdenizin üstünde daima, top top ak bulutlar salınır.
2	4	üstünde	üst	yukarı kısım		Akdenizin üstünde daima, top top ak bulutlar salınır.
2	4	daima	daima	her zaman		Akdenizin üstünde daima, top top ak bulutlar salınır.
2	4	top top	top top	yavaşça, hafifçe hareket etme	ÇKY	Akdenizin üstünde daima, top top ak bulutlar salınır.
2	4	ak	ak	beyaz renk		Akdenizin üstünde daima, top top ak bulutlar salınır.
